school_title,head_teacher,phoennumber,e-mail,category
Christchurch Church in Wales Primary School,Headteacher - Mrs Helen-Marie Davies,01792 510900,ChristchurchPrimarySchool@christchurch.swansea.sch.uk,Voluntary aided primary schools
St Joseph's Catholic Primary School,Headteacher - Ms Juliet Stack,01792 842494,StJosephsCatholicPrimarySchool@stjosephs.swansea.sch.uk,Voluntary aided primary schools
St Joseph's Cathedral Primary School,Headteacher - Mrs Angela Heald,01792 653609,6703309_StJosephsCathedralPrimarySchool@Hwbcymru.net,Voluntary aided primary schools
Ysgol Pen-y-Bryn,Headteacher - Mr Gethin Sutton,01792 799064,YsgolPenyBryn@penybryn.swansea.sch.uk,Special schools
St Illtyd's RC Primary School,Headteacher - Mr David F Lewis,01792 462104,StIlltydsCatholicPrimarySchool@st-illtyds.swansea.sch.uk,Voluntary aided primary schools
Penybryn Lower,Headteacher - Mr Gethin Sutton,01792799064,Pen-y-bryn.School@swansea-edunet.gov.uk,Special schools
St David's RC Primary School,Headteacher - Ms Liz Richards,01792 512212,6703303_StDavidsCatholicPrimarySchool@Hwbcymru.net,Voluntary aided primary schools
Ysgol Crug Glas,Headteacher - Mrs Michelle Hibbs,01792 652388,YsgolCrugGlas@crugglas.swansea.sch.uk,Special schools
Ysgol Gymraeg Tan-y-lan,Headteacher - Mr Berian Jones,01792 772800,YGGTanylan@yggtan-y-lan.swansea.sch.uk,Welsh medium primary schools
YGG Pontybrenin,Headteacher - Mr Ceri Huw Scourfield,01792 894210,YGGPontybrenin@pontybrenin.swansea.sch.uk,Welsh medium primary schools
YGG Brynymor,Headteacher - Mrs Rhian James-Collins,01792 466354,YGGBrynymor@bryn-y-mor.swansea.sch.uk,Welsh medium primary schools
YGG Y Login Fach,Headteacher - Miss Undeg Evans,01792 874399,YGGYLoginFach@yloginfach.swansea.sch.uk,Welsh medium primary schools
YGG Tirdeunaw,Headteacher - Mrs Jackie James,01792 774612,YGGTirdeunaw@yggtirdeunaw.swansea.sch.uk,Welsh medium primary schools
YGG Lon-Las,Headteacher - Mrs Karen Thomas,01792 771160,YGGLonLas@ygglonlas.swansea.sch.uk,Welsh medium primary schools
YGG Gellionnen,Acting Headteacher - Mrs Julie Thomas,01792 845489,6702232_YGGGellionnen@Hwbcymru.net,Welsh medium primary schools
YGG Llwynderw,Headteacher - Indeg Griffiths,01792 407130,6702235_YGGLlwynderw@Hwbcymru.net,Welsh medium primary schools
Cila Primary School,Headteacher - Mr Ray Squires,01792 202775,CilaPrimarySchool@cila.swansea.sch.uk,Primary schools
Clase Primary School,Headteacher - Mrs Sharon Hope,01792 781747,ClasePrimarySchool@clase.swansea.sch.uk,Primary schools
Cadle Primary School,Headteacher - Mr Jamie M Richards,01792 584498,CadlePrimarySchool@cadle.swansea.sch.uk,Primary schools
Brynmill Primary School,Headteacher - Miss Jo Simons,01792 463019,BrynmillPrimarySchool@brynmill.swansea.sch.uk,Primary schools
